,ID,ano_stat,escalado,jogou,ppm,gols_para,assistencias,gols_contra,entrou,saiu,amarelo,amarelo_duplo,vermelho,Gols_de_penalti,minutos_por_gol,minutos
505,205179,2016,58,39,1.31,1,1,-,13,21,6,-,-,-,2.071',2.071'
506,210737,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507,270536,2016,12,6,2.17,1,-,-,6,-,2,-,-,-,132',132'
508,373191,2016,14,9,0.78,-,-,-,1,2,1,-,-,-,-,652'
509,435239,2016,26,25,1.24,4,1,-,3,14,8,1,-,-,428',1.710'
510,521074,2016,43,41,1.12,3,4,-,4,17,11,-,-,-,1.007',3.021'
511,345544,2016,31,28,1.86,2,8,-,6,7,6,-,-,1,1.023',2.046'
512,353279,2016,9,5,1.00,-,-,-,2,3,-,-,-,-,-,270'
513,50441,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514,52837,2016,29,28,1.21,4,6,-,6,7,8,-,-,-,507',2.029'
515,64635,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,74790,2016,31,26,1.04,1,-,-,3,-,4,-,-,1,2.158',2.158'
517,112425,2016,28,26,1.08,1,1,-,3,11,7,-,-,-,2.006',2.006'
518,149946,2016,29,14,0.64,-,-,-,4,8,2,-,-,-,-,801'
519,380696,2016,37,37,1.78,4,1,-,4,10,10,-,-,-,740',2.958'
520,24337,2016,40,37,1.62,9,7,-,5,18,3,-,-,-,300',2.701'
521,46810,2016,28,27,1.04,4,5,-,5,8,4,-,-,1,511',2.044'
522,52405,2016,10,10,1.20,-,-,-,-,3,1,-,-,-,-,791'
523,67889,2016,33,33,0.94,4,1,-,1,5,12,-,1,-,712',2.848'
524,95274,2016,40,39,1.15,2,2,-,5,12,11,-,-,-,1.467',2.933'
525,145692,2016,41,33,1.06,4,3,-,14,12,7,-,-,-,422',1.689'
526,154990,2016,52,28,1.46,1,-,-,8,3,11,-,1,-,1.786',1.786'
527,162812,2016,41,37,1.32,7,5,-,3,18,3,-,-,-,400',2.797'
528,202919,2016,36,33,1.00,2,2,-,9,15,4,-,-,1,1.003',2.005'
529,243527,2016,37,30,1.20,4,4,-,11,8,2,-,-,-,439',1.755'
530,288502,2016,16,8,0.50,-,1,-,1,1,-,-,-,-,-,617'
531,363177,2016,24,18,1.67,-,1,-,9,8,4,-,-,-,-,789'
532,363781,2016,37,34,1.32,5,3,-,5,21,7,-,-,2,463',2.313'
533,390685,2016,32,32,1.38,5,2,1,2,8,5,-,-,-,530',2.650'
534,479587,2016,52,47,1.98,1,1,-,4,6,14,-,-,-,3.805',3.805'
535,85652,2016,41,38,1.89,1,1,-,8,10,11,-,-,-,2.726',2.726'
536,97506,2016,39,39,1.87,1,4,-,4,13,6,-,-,-,3.102',3.102'
537,114061,2016,33,32,1.56,8,6,-,4,10,9,-,1,1,308',2.463'
538,178943,2016,29,22,1.18,1,-,-,12,8,2,-,-,-,910',910'
539,209263,2016,30,29,1.31,-,1,-,-,-,8,-,-,-,-,2.610'
540,346874,2016,7,6,1.17,1,-,-,-,2,1,-,1,-,461',461'
541,435169,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542,374855,2016,30,24,1.54,-,-,-,3,7,7,-,1,-,-,1.821'
543,51956,2016,33,33,1.12,13,3,1,2,5,5,-,1,8,213',2.765'
544,155123,2016,10,9,1.22,1,-,-,1,3,2,-,-,-,643',643'
545,183893,2016,34,34,1.03,5,-,-,1,3,8,-,-,-,592',2.959'
546,187872,2016,27,23,1.13,1,-,-,4,6,5,1,-,1,1.643',1.643'
547,230492,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
548,236357,2016,4,4,1.00,-,-,-,-,-,-,-,-,-,-,360'
549,299596,2016,37,32,0.75,2,2,-,6,9,2,-,-,-,1.154',2.307'
550,333857,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551,369283,2016,36,25,1.04,3,-,-,10,9,2,-,-,-,464',1.392'
552,375661,2016,39,28,1.61,-,-,-,8,4,9,-,-,-,-,1.830'
553,411291,2016,31,18,1.83,2,4,-,8,8,6,-,-,-,445',889'
554,440366,2016,2,2,1.50,-,1,-,-,-,-,-,-,-,-,180'
555,519854,2016,39,36,1.08,8,4,-,4,6,8,1,-,-,360',2.880'
556,554869,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557,530737,2016,12,10,1.20,-,-,-,1,3,1,-,-,-,-,774'
558,538234,2016,17,15,1.67,3,-,-,9,2,3,-,-,1,241',723'
559,273882,2016,11,8,0.75,-,-,-,3,3,1,-,-,-,-,412'
560,578413,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
561,524601,2016,9,-,,-,-,-,-,-,-,-,-,-,-,-
562,55480,2016,26,22,0.91,6,2,-,5,5,3,-,-,2,254',1.523'
563,518723,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564,75076,2016,34,34,2.29,1,1,-,1,4,13,-,-,-,2.843',2.843'
565,52406,2016,36,15,1.13,1,-,-,6,7,3,-,1,-,709',709'
566,68275,2016,48,43,1.67,1,7,-,8,5,10,-,-,-,3.143',3.143'
