,ID,ano_stat,escalado,jogou,ppm,gols_para,assistencias,gols_contra,entrou,saiu,amarelo,amarelo_duplo,vermelho,Gols_de_penalti,minutos_por_gol,minutos
249,20797,2014,39,21,1.52,1,2,-,7,6,4,-,-,-,1.064',1.064'
250,29376,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,38893,2014,30,23,1.83,1,2,-,2,7,2,-,-,-,1.740',1.740'
252,50778,2014,47,46,0.96,4,3,-,-,5,12,1,1,2,1.011',4.044'
253,52788,2014,31,21,1.29,1,1,-,2,1,4,-,-,-,1.722',1.722'
254,76847,2014,41,37,1.89,2,-,-,3,1,6,-,-,-,1.543',3.085'
255,128826,2014,39,32,1.50,-,1,1,1,4,12,-,-,-,-,2.694'
256,175601,2014,24,22,1.45,1,-,-,2,5,6,-,-,-,1.652',1.652'
257,231009,2014,31,30,1.70,2,5,-,1,2,12,-,-,-,1.265',2.530'
258,241354,2014,51,46,1.35,-,-,-,4,2,11,-,1,-,-,3.883'
259,269447,2014,19,15,1.33,-,-,-,1,3,8,-,-,-,-,1.215'
260,17127,2014,33,16,1.00,1,-,-,1,4,2,2,-,-,1.198',1.198'
261,18445,2014,13,3,2.33,-,1,-,-,1,-,-,-,-,-,251'
262,52895,2014,4,2,1.50,-,-,-,-,1,-,-,-,-,-,149'
263,79719,2014,2,2,0.50,-,-,-,-,-,-,-,-,-,-,180'
264,131753,2014,37,35,0.80,1,-,-,2,1,6,-,-,-,3.002',3.002'
265,210088,2014,36,36,0.86,-,2,-,-,4,9,2,-,-,-,3.115'
266,70547,2014,29,18,1.28,-,-,-,4,5,4,-,1,-,-,1.102'
267,42853,2014,33,15,0.73,-,-,-,3,-,3,1,-,-,-,1.084'
268,58453,2014,16,7,1.57,1,-,-,-,-,1,-,-,-,630',630'
269,112237,2014,10,9,1.89,-,-,-,1,2,-,-,-,-,-,646'
270,126480,2014,16,10,1.40,1,-,-,2,1,3,-,-,-,684',684'
271,348261,2014,4,2,3.00,-,-,-,1,-,1,-,-,-,-,149'
272,155472,2014,29,29,1.79,1,-,-,-,-,6,-,-,-,2.610',2.610'
273,312862,2014,41,41,1.29,2,3,-,-,7,10,2,1,-,1.741',3.482'
274,25106,2014,38,35,0.89,3,1,-,1,3,6,-,-,-,1.012',3.035'
275,34331,2014,1,1,1.00,-,-,-,-,-,-,-,-,-,-,90'
276,38662,2014,42,35,1.31,1,1,1,-,3,4,1,-,-,3.041',3.041'
277,53789,2014,34,28,1.96,1,-,-,3,7,3,-,-,-,2.211',2.211'
278,55313,2014,4,2,3.00,-,-,-,-,-,1,-,-,-,-,180'
279,67918,2014,33,20,1.45,1,-,1,1,1,5,-,-,1,1.685',1.685'
280,68779,2014,32,22,1.14,-,-,1,-,2,9,-,-,-,-,1.867'
281,80927,2014,31,13,1.00,-,1,-,1,5,5,-,-,-,-,967'
282,99632,2014,30,25,1.40,1,-,-,4,7,3,-,-,-,1.775',1.775'
283,100011,2014,48,30,1.63,1,1,-,10,12,12,-,-,-,1.717',1.717'
284,186154,2014,22,13,0.54,-,1,-,1,1,2,1,2,-,-,953'
