,ID,Perfil,Nome,Posição,Idade,Valor de Mercado,Nacionalidade,URL Clube Antigo,Clube Antigo,URL Liga Antiga,Liga Antiga,URL Clube Novo,Clube Novo,URL Liga Nova,Liga Nova,Valor Transferência,Ano da Tranferência,pe,data_nasc,local_nasc,cidadania,altura,convocacoes,gols_selecao,ano_stat,escalado,jogou,ppm,gols_para,assistencias,gols_contra,entrou,saiu,amarelo,amarelo_duplo,vermelho,gols_sofridos,clean_sheets,minutos
30,122844,/victor-golas/profil/spieler/122844,Victor Golas,Goalkeeper,26,450000,Brazil,/clube-atletico-linense-sp-/startseite/verein/20132/saison_id/2016,Linense,/campeonato-paulista-serie-a1-grunddurchgang/transfers/wettbewerb/BCP1/saison_id/2016,Paulistão A1 - Primeira Fase,/londrina-esporte-clube-pr-/startseite/verein/1693/saison_id/2016,Londrina-PR,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2016,Série B,0,2016,right,"Dec 27, 1990 (34)",Arapongas,"2, Brazil, Poland",1.93,0,0,2015,32,31,1.0,,0,,,,5,,,40,7,2790
31,76429,/rafael/profil/spieler/76429,Rafael,Goalkeeper,30,100000,Brazil,/gremio-esportivo-anapolis-go-/startseite/verein/25243/saison_id/2014,Anápolis,,Brazil,/esteghlal-fc/startseite/verein/1076/saison_id/2014,Esteghlal FC,/persian-gulf-pro-league/transfers/wettbewerb/IRN1/saison_id/2014,Persian Gulf Pro League,138000,2014,right,"Mar 24, 1984 (40)",Araraquara,"1, Brazil",1.92,0,0,2013,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
32,111819,/neto/profil/spieler/111819,Neto,Goalkeeper,25,9000000,Brazil,/ac-florenz/startseite/verein/430/saison_id/2015,Fiorentina,/serie-a/transfers/wettbewerb/IT1/saison_id/2015,Serie A,/juventus-turin/startseite/verein/506/saison_id/2015,Juventus,/serie-a/transfers/wettbewerb/IT1/saison_id/2015,Serie A,0,2015,right,"Jul 19, 1989 (35)",Araxá,"3, Brazil, England, Italy",1.9,1,0,2014,47,38,1.58,,0,,,,5,,,46,13,3420
33,111819,/neto/profil/spieler/111819,Neto,Goalkeeper,27,6000000,Brazil,/juventus-turin/startseite/verein/506/saison_id/2017,Juventus,/serie-a/transfers/wettbewerb/IT1/saison_id/2017,Serie A,/fc-valencia/startseite/verein/1049/saison_id/2017,Valencia,/laliga/transfers/wettbewerb/ES1/saison_id/2017,LaLiga,7000000,2017,right,"Jul 19, 1989 (35)",Araxá,"3, Brazil, England, Italy",1.9,1,0,2016,57,14,2.64,,0,,1,,,,,9,8,1215
34,111819,/neto/profil/spieler/111819,Neto,Goalkeeper,29,18000000,Brazil,/fc-valencia/startseite/verein/1049/saison_id/2019,Valencia,/laliga/transfers/wettbewerb/ES1/saison_id/2019,LaLiga,/fc-barcelona/startseite/verein/131/saison_id/2019,Barcelona,/laliga/transfers/wettbewerb/ES1/saison_id/2019,LaLiga,26000000,2019,right,"Jul 19, 1989 (35)",Araxá,"3, Brazil, England, Italy",1.9,1,0,2018,60,47,1.57,,0,,,,2,,,49,14,4230
35,111819,/neto/profil/spieler/111819,Neto,Goalkeeper,33,3000000,Brazil,/fc-barcelona/startseite/verein/131/saison_id/2022,Barcelona,/laliga/transfers/wettbewerb/ES1/saison_id/2022,LaLiga,/afc-bournemouth/startseite/verein/989/saison_id/2022,Bournemouth,/premier-league/transfers/wettbewerb/GB1/saison_id/2022,Premier League,0,2022,right,"Jul 19, 1989 (35)",Araxá,"3, Brazil, England, Italy",1.9,1,0,2021,51,4,2.5,,0,,,,,,,5,,360
36,277743,/alex-muralha/profil/spieler/277743,Alex Muralha,Goalkeeper,26,2500000,Brazil,/figueirense-fc/startseite/verein/4064/saison_id/2015,Figueirense FC,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2015,Série A,/flamengo-rio-de-janeiro/startseite/verein/614/saison_id/2015,Flamengo,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2015,Série A,941000,2015,right,"Nov 10, 1989 (35)",Três Corações,"1, Brazil",1.89,0,0,2014,47,44,1.25,,0,,,,4,,,51,11,3960
37,277743,/alex-muralha/profil/spieler/277743,Alex Muralha,Goalkeeper,31,500000,Brazil,/flamengo-rio-de-janeiro/startseite/verein/614/saison_id/2020,Flamengo,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2020,Série A,/coritiba-fc/startseite/verein/776/saison_id/2020,Coritiba FC,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2020,Série B,0,2020,right,"Nov 10, 1989 (35)",Três Corações,"1, Brazil",1.89,0,0,2019,45,13,1.92,,0,,,,,,,14,4,1170
38,277743,/alex-muralha/profil/spieler/277743,Alex Muralha,Goalkeeper,31,450000,Brazil,/mirassol-futebol-clube-sp-/startseite/verein/3876/saison_id/2020,Mirassol-SP,/campeonato-paulista-serie-a1-grunddurchgang/transfers/wettbewerb/BCP1/saison_id/2020,Paulistão A1 - Primeira Fase,/coritiba-fc/startseite/verein/776/saison_id/2020,Coritiba FC,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2020,Série B,0,2020,right,"Nov 10, 1989 (35)",Três Corações,"1, Brazil",1.89,0,0,2019,45,13,1.92,,0,,,,,,,14,4,1170
39,277743,/alex-muralha/profil/spieler/277743,Alex Muralha,Goalkeeper,31,450000,Brazil,/coritiba-fc/startseite/verein/776/saison_id/2020,Coritiba FC,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2020,Série B,/mirassol-futebol-clube-sp-/startseite/verein/3876/saison_id/2020,Mirassol-SP,/campeonato-paulista-serie-a1-grunddurchgang/transfers/wettbewerb/BCP1/saison_id/2020,Paulistão A1 - Primeira Fase,0,2020,right,"Nov 10, 1989 (35)",Três Corações,"1, Brazil",1.89,0,0,2019,45,13,1.92,,0,,,,,,,14,4,1170
40,74584,/agenor/profil/spieler/74584,Agenor,Goalkeeper,26,1250000,Brazil,/joinville-ec-sc-/startseite/verein/3330/saison_id/2015,Joinville-SC,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2015,Série B,/sport-club-do-recife/startseite/verein/8718/saison_id/2015,Sport Recife,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2015,Série A,250000,2015,left,"Dec 11, 1989 (35)",Erechim,"1, Brazil",1.87,2,0,2014,41,33,0.91,,0,,,,1,,,41,10,2970
41,74584,/agenor/profil/spieler/74584,Agenor,Goalkeeper,28,300000,Brazil,/sport-club-do-recife/startseite/verein/8718/saison_id/2018,Sport Recife,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2018,Série A,/guarani-fc-sp-/startseite/verein/1755/saison_id/2018,Guarani,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2018,Série B,0,2018,left,"Dec 11, 1989 (35)",Erechim,"1, Brazil",1.87,2,0,2017,32,20,1.4,,0,,1,,,,,16,10,1737
42,74584,/agenor/profil/spieler/74584,Agenor,Goalkeeper,30,400000,Brazil,/fluminense-rio-de-janeiro/startseite/verein/2462/saison_id/2019,Fluminense,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2019,Série A,/criciuma-esporte-clube/startseite/verein/7178/saison_id/2019,Criciúma EC,/campeonato-brasileiro-serie-c/transfers/pokalwettbewerb/BRA3/saison_id/2019,Série C,0,2019,left,"Dec 11, 1989 (35)",Erechim,"1, Brazil",1.87,2,0,2018,62,9,0.67,,0,,,,1,1,,13,1,816
43,238223,/ederson/profil/spieler/238223,Ederson,Goalkeeper,21,1200000,Brazil,/rio-ave-fc/startseite/verein/2425/saison_id/2015,Rio Ave,/liga-nos/transfers/wettbewerb/PO1/saison_id/2015,Liga NOS,/benfica-lissabon/startseite/verein/294/saison_id/2015,Benfica,/liga-nos/transfers/wettbewerb/PO1/saison_id/2015,Liga NOS,500000,2015,left,"Aug 17, 1993 (31)",Osasco,"3, Brazil, England, Portugal",1.88,29,0,2014,55,28,1.14,,0,,,,4,,,33,7,2520
44,238223,/ederson/profil/spieler/238223,Ederson,Goalkeeper,23,22000000,Brazil,/benfica-lissabon/startseite/verein/294/saison_id/2017,Benfica,/liga-nos/transfers/wettbewerb/PO1/saison_id/2017,Liga NOS,/manchester-city/startseite/verein/281/saison_id/2017,Man City,/premier-league/transfers/wettbewerb/GB1/saison_id/2017,Premier League,40000000,2017,left,"Aug 17, 1993 (31)",Osasco,"3, Brazil, England, Portugal",1.88,29,0,2016,49,40,2.28,,0,,,,5,,1,27,24,3552
45,27346,/marcelo-boeck/profil/spieler/27346,Marcelo Boeck,Goalkeeper,31,1200000,Brazil,/sporting-lissabon/startseite/verein/336/saison_id/2015,Sporting CP,/liga-nos/transfers/wettbewerb/PO1/saison_id/2015,Liga NOS,/chapecoense/startseite/verein/17776/saison_id/2015,Chapecoense,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2015,Série A,0,2015,right,"Nov 28, 1984 (40)",Santa Cruz,"2, Belgium, Brazil",1.91,0,0,2014,53,8,2.38,,0,,,,1,,,6,5,720
46,27346,/marcelo-boeck/profil/spieler/27346,Marcelo Boeck,Goalkeeper,32,750000,Brazil,/chapecoense/startseite/verein/17776/saison_id/2016,Chapecoense,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2016,Série A,/fortaleza-esporte-clube/startseite/verein/10870/saison_id/2016,Fortaleza,/copa-do-nordeste-fase-de-grupos/transfers/wettbewerb/BRNE/saison_id/2016,Copa do Nordeste - Fase de Grupos,0,2016,right,"Nov 28, 1984 (40)",Santa Cruz,"2, Belgium, Brazil",1.91,0,0,2015,70,16,1.44,,0,,2,1,1,,,27,2,1310
47,52880,/felipe/profil/spieler/52880,Felipe,Goalkeeper,31,1000000,Brazil,/figueirense-fc/startseite/verein/4064/saison_id/2015,Figueirense FC,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2015,Série A,/red-bull-bragantino/startseite/verein/8793/saison_id/2015,Bragantino,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2015,Série B,0,2015,right,"Feb 22, 1984 (40)",Rio de Janeiro,"2, Brazil, Luxembourg",1.89,3,0,2014,32,3,1.0,,0,,,,1,,,7,,270
