,ID,ano_stat,escalado,jogou,ppm,gols_para,assistencias,gols_contra,entrou,saiu,amarelo,amarelo_duplo,vermelho,Gols_de_penalti,minutos_por_gol,minutos
183,41022,2014,38,38,2.47,24,13,-,-,8,1,-,-,-,138',3.311'
184,92721,2014,46,39,1.64,5,4,-,6,20,8,-,-,-,535',2.675'
185,143817,2014,36,25,1.44,7,2,-,4,7,1,-,-,1,251',1.758'
186,224418,2014,47,47,1.09,16,8,-,4,11,13,1,-,2,242',3.873'
187,71744,2014,33,32,2.09,8,3,-,10,9,5,-,-,2,262',2.093'
188,22452,2014,40,39,1.31,16,1,-,17,12,8,1,1,3,134',2.147'
189,357091,2014,35,31,1.42,6,2,-,17,7,8,-,-,-,256',1.533'
190,3890,2014,3,3,0.33,-,-,-,-,1,-,-,-,-,-,260'
191,9814,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,15821,2014,27,25,2.20,16,4,-,-,4,10,-,-,3,133',2.126'
193,27434,2014,59,53,1.47,11,2,-,14,21,7,-,-,3,308',3.392'
194,30505,2014,26,26,0.73,4,2,-,1,12,7,-,1,1,503',2.010'
195,42990,2014,2,1,1.00,-,-,-,-,-,-,-,-,-,-,90'
196,55286,2014,33,25,1.32,10,1,-,3,7,3,-,-,4,186',1.864'
197,73462,2014,2,2,0.50,-,-,-,-,2,-,-,-,-,-,149'
198,76898,2014,34,31,1.65,2,1,-,5,10,11,-,-,-,1.166',2.332'
199,101347,2014,49,38,1.29,3,-,-,22,6,5,-,-,-,635',1.905'
200,105466,2014,43,29,1.28,8,-,-,7,10,10,-,-,-,245',1.957'
201,109307,2014,19,19,1.05,8,2,-,3,9,-,-,-,1,167',1.332'
202,119131,2014,35,22,1.14,1,2,-,18,3,4,-,-,-,751',751'
203,134811,2014,18,17,1.00,2,4,-,4,3,-,-,-,-,633',1.265'
204,150065,2014,38,37,1.76,22,9,-,4,11,1,-,-,4,141',3.092'
205,155469,2014,27,26,1.27,1,1,-,8,11,2,-,-,-,1.470',1.470'
206,159100,2014,38,37,0.89,8,6,-,4,10,3,1,1,-,370',2.961'
207,166612,2014,8,4,0.50,-,-,-,1,3,-,-,-,-,-,194'
208,180704,2014,18,12,1.67,1,1,-,7,4,1,-,-,-,412',412'
209,197154,2014,23,23,1.00,2,2,-,4,7,8,-,1,-,819',1.638'
210,216827,2014,29,29,2.07,8,10,-,1,8,6,-,-,2,310',2.477'
